Model 1,Model 2,N Common,Acc 1,Acc 2,p-value,Significant (p<0.05)
AF2,AF3,627,0.8022328548644339,0.9043062200956937,7.45396190732802e-07,True
AF2,Boltz,627,0.8022328548644339,0.8644338118022329,0.00394386184769481,True
AF2,Chai,627,0.8022328548644339,0.8676236044657097,0.0017601917264816252,True
AF2,OpenFold,149,0.8523489932885906,0.6442953020134228,8.837556327558756e-05,True
AF2,Proteinx,627,0.8022328548644339,0.8133971291866029,0.6722499772048187,False
AF2,UniFold,37,0.9459459459459459,0.6216216216216216,0.0018310546875,True
AF3,Boltz,1200,0.905,0.8575,0.0005297205588830257,True
AF3,Chai,1200,0.905,0.8575,0.00029170212350159114,True
AF3,OpenFold,319,0.896551724137931,0.6426332288401254,2.804839880883607e-13,True
AF3,Proteinx,1200,0.905,0.8191666666666667,2.5713431937796023e-09,True
AF3,UniFold,67,0.9253731343283582,0.5671641791044776,8.430331945419312e-06,True
Boltz,Chai,1200,0.8575,0.8575,1.0,False
Boltz,OpenFold,319,0.8871473354231975,0.6426332288401254,4.656868638370482e-12,True
Boltz,Proteinx,1200,0.8575,0.8191666666666667,0.0120318998194749,True
Boltz,UniFold,67,0.9104477611940298,0.5671641791044776,3.39532271027565e-05,True
Chai,OpenFold,319,0.8840125391849529,0.6426332288401254,7.431826959701346e-12,True
Chai,Proteinx,1200,0.8575,0.8191666666666667,0.013123439073324843,True
Chai,UniFold,67,0.8507462686567164,0.5671641791044776,0.0013187271542847157,True
OpenFold,Proteinx,319,0.6426332288401254,0.8338557993730408,1.5020945707319435e-07,True
OpenFold,UniFold,57,0.6491228070175439,0.6140350877192983,0.8555355519056321,False
Proteinx,UniFold,67,0.8208955223880597,0.5671641791044776,0.002315700054168701,True
