Seq_A,Seq_B,RR,RP,LR,LP
P09471,O00167,0.9431,0.5169,0.5576,0.6352
O43739,P50148,0.9627,0.4112,0.756,0.6258
O43290,P83876,0.1184,0.4033,0.6824,0.7971
P10398,P31749,0.8372,0.444,1.0,0.492
P18848,Q8TBX8,0.4649,0.6042,1.0,0.7834
P04637,P10415,1.0,0.4241,0.5524,0.8221
O75175,Q8TAU0,0.7135,0.7009,0.6469,0.6967
O95983,Q96QF0,0.5717,0.6454,0.0,0.93
P25311,P61769,1.0,0.2766,0.883,0.6228
P02545,P04792,0.4263,0.8279,0.7619,0.3084
P17036,Q70SY1,0.726,0.6991,0.2091,0.3625
P07948,Q03405,0.4113,0.4943,0.6854,0.1448
P02545,Q07955,0.5876,0.4342,1.0,0.4925
P01137,P61586,0.5846,0.56,0.0,0.6491
P06703,Q13546,1.0,0.5978,0.7411,0.793
O15105,P04637,0.668,1.0,0.6315,0.6824
P07196,P17661,0.704,0.6364,0.3953,0.5266
P18848,Q9UH92,1.0,0.1619,0.8025,0.5469
P01100,P49736,0.8284,0.8658,0.8303,0.8275
P04637,P31269,0.8852,0.629,0.7078,0.9291
P04150,P22087,0.1921,0.1314,0.9751,0.4303
P08670,Q13330,0.5992,0.4985,0.5859,0.4378
O75175,Q70SY1,0.421,0.3215,0.4901,1.0
P08047,P23511,0.758,0.8934,0.398,0.0936
P18847,Q8TAU0,0.4481,0.8688,0.5114,0.3317
P07196,P21246,0.9311,0.8451,0.4612,0.2046
O60936,Q01130,0.408,1.0,0.7976,1.0
P18847,Q13547,0.5766,0.7756,0.0666,1.0
P01137,P17980,0.1906,0.578,0.0,0.3874
O60683,Q92968,0.4758,0.8122,0.7191,0.8454
P18848,Q02535,0.821,0.2207,0.653,0.4219
O00623,Q92968,0.3435,0.5171,0.9318,1.0
P24941,Q9UBD5,0.4688,0.5383,0.3135,0.646
O75414,P04637,0.9417,0.0,0.6574,0.8735
P13631,Q15466,0.9965,0.6532,0.8205,0.3915
O43559,P61587,0.424,0.8581,0.726,0.1755
P15531,Q13232,0.6717,0.4504,1.0,0.6879
O95361,Q01094,0.8597,0.7067,0.9012,0.6176
P25490,O75446,0.1129,0.6755,0.3431,0.3643
P08670,P25963,0.6736,0.8943,0.2027,0.5844
P17252,P25963,0.8352,0.4367,0.526,0.2798
P24385,P38936,0.3681,0.7039,0.8046,0.8931
O75400,P21246,1.0,0.5508,0.9077,0.9457
P17980,P42771,0.9482,0.2951,0.6278,0.5266
P18847,Q9UH92,0.5651,1.0,0.5374,0.8227
P15976,Q13547,0.886,1.0,0.0,0.283
P17036,Q9UHR5,1.0,0.3288,0.4131,0.6736
P23297,P25815,0.982,0.5515,0.2012,0.4041
P15531,Q00987,0.9015,1.0,0.8896,0.711
P08621,Q8N5F7,0.666,0.9089,0.6503,0.5127
P17661,P23297,0.494,0.4852,0.5013,0.6191
O60936,Q07955,0.8058,0.929,0.5271,0.3098
P10276,Q00987,0.7351,0.8769,1.0,0.5534
O75175,Q9UHX1,0.7377,0.3112,0.8828,0.6946
P24941,P60228,0.8613,0.1274,0.3557,0.6643
O14640,P48729,0.2852,0.6814,0.0365,0.709
O75400,Q9H213,0.4386,1.0,1.0,0.2446
