Seq_A,Seq_B,RR,RP,LR,LP
O43739,P50148,0.6977,0.5055,1.0,0.8082
O43290,P83876,0.3592,0.943,0.4428,0.693
O15304,Q92633,0.7876,0.3762,0.0587,0.4842
O15105,P04637,0.4359,0.4347,0.858,0.8858
O75175,Q70SY1,0.9922,0.2363,0.159,0.67
O60936,Q01130,0.374,0.651,0.1469,0.7854
O60683,Q92968,0.1649,0.6913,0.8957,1.0
O00623,Q92968,0.1069,0.5327,0.3985,0.6409
O43559,P61587,0.645,0.4762,0.6452,0.4828
O60936,Q07955,0.4375,0.1987,0.9614,0.6662
O14640,P48729,1.0,0.0749,0.7547,0.1412
O60936,P63162,0.9995,0.4178,0.3213,0.8224
O00623,O60683,0.7316,0.6614,0.5708,0.7216
O15116,O94906,1.0,0.3154,1.0,0.4623
O75175,P62879,1.0,1.0,0.9575,0.8605
O43447,P98170,0.6555,0.5022,0.0593,0.828
O60936,Q01081,0.6215,0.5931,1.0,0.6012
O15105,P31273,0.338,0.6263,0.7788,0.5811
O75175,Q02535,0.7778,0.2584,0.6414,1.0
O43194,Q9UBU3,0.6004,0.3459,0.5317,0.2045
O14640,P49841,0.6296,0.785,0.4733,0.6073
O60896,P56589,0.5783,0.3264,1.0,1.0
O00167,P15531,0.9162,1.0,0.8332,0.7
O15116,O95777,0.5394,0.983,0.0733,0.818
O15379,P18847,0.3726,0.7217,1.0,0.6172
O60936,P62995,1.0,0.7292,0.65,0.2739
O00623,Q9Y5Y5,0.5956,0.8468,0.9496,0.4405
O14775,P05067,0.797,0.5851,1.0,0.8798
O43447,O94906,0.8071,0.4033,0.562,0.4911
O15304,P04637,1.0,1.0,0.8201,1.0
O60663,P05067,0.6701,0.6715,0.4531,0.8556
A6NIX2,O60663,0.2855,0.3949,0.8423,0.2002
O43447,Q53GS9,0.6536,0.3407,0.5584,0.9015
O14775,Q6Y2X3,0.7246,0.826,0.219,0.5659
O00220,P06493,0.3776,0.576,0.554,0.4796
O75175,P36915,0.9706,0.7951,0.8613,0.2577
O75175,P25963,0.2531,0.7511,0.9704,0.7783
O75175,P18847,0.7973,0.8777,1.0,0.3136
O60683,P56589,0.5471,0.3849,0.3907,0.6708
O60683,Q9Y5Y5,0.8108,0.2845,0.4005,0.6638
O00716,Q8TAK5,0.4856,0.2779,0.3962,0.7576
O43290,O43447,0.6992,0.5995,0.4753,0.8477
O00238,P98170,1.0,0.2321,0.2638,0.546
O15105,Q13363,0.8457,0.8912,0.1898,0.7126
O75175,P31150,0.4219,0.8288,0.3704,0.8549
O00167,Q9BUZ4,0.3866,0.6545,0.7908,0.8873
O15492,P35368,0.6656,0.7684,1.0,0.7504
O75175,P41240,0.5515,0.3437,0.4795,0.4534
O60936,Q13247,0.6989,0.5626,0.7582,0.1623
O75175,Q68DY1,0.712,0.7399,1.0,0.6795
O00716,Q14192,0.3983,0.6698,0.7513,0.8492
O00220,Q13158,0.3696,0.5857,0.7553,0.3866
O15492,P35348,0.7656,0.6474,0.8155,0.4283
O60936,Q08170,0.7812,0.983,0.8331,0.6958
O15105,Q15750,0.6421,0.439,0.2619,1.0
O75175,P17036,0.5438,0.8414,0.5816,0.7364
O43447,Q9BUQ8,1.0,0.5146,0.9984,0.5972
O15304,Q9UBY5,0.5705,0.6436,1.0,0.3962
O15105,P31269,0.6255,0.6477,0.7915,0.8599
O00238,P01137,0.9792,0.2539,0.7262,0.5668
O75175,P18848,0.6649,0.4534,0.3162,0.9883
O75175,Q16828,0.7757,0.2805,0.883,1.0
O43739,P10276,0.2704,0.3644,0.7151,1.0
O43524,Q13309,0.5253,1.0,0.3287,0.9195
O15379,O15105,0.3565,1.0,0.5384,0.1604
O60936,P84103,0.4672,0.7785,0.3459,0.4972
O15379,P25490,0.5343,0.5582,0.8923,1.0
