Seq_A,Seq_B,RR,RP,LR,LP
P28069,Q04724,1.0,1.0,0.3982,0.6995
P09471,O00167,0.615,1.0,1.0,0.1393
O43739,P50148,0.7481,0.4637,0.9866,1.0
O43290,P83876,0.3248,0.9626,0.9166,0.778
P51572,Q92575,1.0,0.9184,0.64,0.042
P28482,P11802,0.1254,0.0398,1.0,0.8254
P25963,Q9H9D4,0.7051,0.9958,0.9238,0.8105
Q92844,Q12933,0.8986,0.6849,0.7042,1.0
P36915,Q70SY1,1.0,0.6429,0.2894,0.2081
P10398,P31749,0.7127,0.197,1.0,0.9922
P21246,Q7L311,0.4952,1.0,0.3832,0.8465
Q7Z6M1,P51149,0.605,0.9888,0.7791,1.0
Q5JTD0,Q9Y624,1.0,1.0,1.0,1.0
Q01094,Q15796,0.4372,0.0398,1.0,1.0
P18848,Q8TBX8,0.9911,0.3718,0.9985,1.0
P67775,Q92572,0.8919,0.9231,0.2283,0.8504
P41240,Q92730,0.4046,0.971,0.6084,0.7291
P31150,Q9NQX6,1.0,0.608,1.0,0.9009
Q96RJ3,Q12933,1.0,0.9229,0.0398,0.5252
P04637,P10415,1.0,0.3918,0.4539,0.9928
Q8N2W9,Q15796,0.6578,1.0,0.7578,1.0
P36897,P01137,1.0,0.8743,0.9247,1.0
Q9UJ41,Q9BYM8,0.2096,1.0,0.1798,1.0
O75175,Q8TAU0,0.7931,0.0398,0.9163,0.5993
Q13546,O00220,0.7068,0.2729,0.8755,0.5214
O95983,Q96QF0,0.8371,0.6729,0.3155,1.0
P25311,P61769,0.9389,1.0,0.9967,0.8649
P41240,Q8TBX8,0.8666,1.0,0.9907,1.0
O15304,Q92633,0.2255,0.6898,0.6934,1.0
Q16763,P30260,1.0,0.9447,0.4288,0.7323
P62879,P63096,0.9796,1.0,0.7611,1.0
Q68DY1,Q93096,1.0,0.8274,0.4045,1.0
Q15797,O15105,0.9943,1.0,0.134,0.6924
Q05513,Q9Y624,0.982,0.9644,0.7494,0.9922
P02545,P04792,1.0,1.0,0.9919,0.2248
Q15797,P31273,1.0,0.4204,0.7213,0.373
Q70SY1,Q9H6S3,0.039,0.9961,0.9531,1.0
Q02535,Q9UDV6,1.0,1.0,1.0,0.8877
P84022,Q05516,1.0,1.0,1.0,0.7344
P31269,Q15796,0.7731,0.1773,0.9049,0.9852
Q9UKG1,P31749,0.8996,0.6151,0.922,1.0
Q16526,Q9UKC9,0.5411,0.9297,0.9508,0.7674
P17036,Q9H6S3,1.0,0.9472,1.0,1.0
P41587,O60896,1.0,0.8427,0.8943,0.8593
Q8IUC6,Q7Z434,1.0,0.9243,0.7224,0.3009
Q16828,Q70SY1,0.8412,0.662,0.9927,1.0
P42771,Q9UBD5,0.4657,0.7871,0.4784,0.8398
Q9UM11,P60228,1.0,1.0,0.8956,1.0
Q14186,Q8TAK5,1.0,1.0,1.0,0.6693
Q49AN0,Q9H469,0.2024,0.9714,0.9981,1.0
Q8TAU0,Q9H6S3,0.1172,1.0,0.8282,0.8003
Q16254,Q8TAK5,0.6554,0.966,1.0,1.0
P27361,P07948,0.4438,0.0398,1.0,0.9934
P62879,Q8TAU0,1.0,0.732,0.9464,0.5813
Q16539,P28482,0.7752,1.0,0.9649,1.0
P49841,P98170,1.0,0.3235,1.0,1.0
P38936,P49736,1.0,1.0,0.622,0.5429
Q99986,P84103,1.0,1.0,1.0,0.6649
P17036,Q70SY1,0.8049,1.0,0.434,0.7124
Q01130,Q16539,0.8039,0.646,0.8574,1.0
P07948,Q03405,1.0,1.0,0.7024,0.8918
Q15466,Q92786,0.6727,0.758,0.2074,1.0
P59190,Q15276,0.8347,0.6762,1.0,0.7758
P41587,Q9BQY9,0.6018,1.0,0.894,1.0
P84022,Q01094,0.9381,0.8316,0.7101,1.0
Q9UKG1,P20338,0.4318,1.0,1.0,0.9161
P45983,Q49A26,0.8928,1.0,0.5389,0.9475
P02545,Q07955,0.8016,0.3864,1.0,0.6396
Q02535,Q92785,1.0,0.3908,0.4585,0.7539
Q53GS9,O95777,0.6078,1.0,0.3471,0.9861
O95983,Q9UJW3,0.9039,1.0,0.446,0.667
Q05513,P67775,0.9453,0.6632,0.741,0.9063
P62879,Q70SY1,0.3808,0.0697,1.0,0.5909
P41240,Q9UHX1,0.5041,0.9377,1.0,1.0
P01137,P61586,1.0,1.0,0.8829,0.4611
Q02535,O75446,1.0,1.0,1.0,0.5605
Q00987,P50750,0.7982,0.8683,0.5987,0.4792
P06703,Q13546,0.6235,0.2252,1.0,0.042
P24941,P29590,1.0,1.0,0.8393,1.0
P28482,Q15797,1.0,0.3318,0.9036,0.7419
P26368,P60842,0.9498,0.8898,0.244,0.7591
Q9H6S3,Q9UDV6,0.906,1.0,0.4677,1.0
Q9BUZ4,O00244,0.4572,0.2355,0.8998,0.9428
Q96CV9,Q7Z434,0.9838,0.8013,1.0,1.0
Q13485,Q15583,0.8669,0.9685,1.0,1.0
O15105,P04637,0.9742,1.0,1.0,0.5625
Q14186,Q16254,1.0,1.0,0.0525,0.3623
Q8TAU0,Q9H9D4,0.5603,0.3367,0.9889,0.3005
P18847,Q9H2S9,1.0,0.6531,0.8301,1.0
