Seq_A,Seq_B,RR,RP,LR,LP
P28069,Q04724,0.8625,0.3323,0.8326,0.8976
P09471,O00167,1.0,0.6793,0.6848,0.6874
O43739,P50148,0.9751,1.0,0.9684,0.2068
O43290,P83876,0.959,0.4204,0.7992,1.0
P51572,Q92575,0.5432,1.0,0.3375,1.0
P28482,P11802,1.0,0.725,0.9144,0.8726
P25963,Q9H9D4,0.6475,0.478,1.0,0.5514
Q92844,Q12933,1.0,0.8238,0.5196,1.0
P36915,Q70SY1,0.715,0.8987,1.0,1.0
P10398,P31749,1.0,0.9908,0.2895,0.8385
P21246,Q7L311,1.0,0.736,0.9776,0.3787
Q7Z6M1,P51149,0.2048,0.2747,0.7025,1.0
Q5JTD0,Q9Y624,1.0,0.6483,0.9544,1.0
Q01094,Q15796,0.5141,0.9042,1.0,0.6953
P18848,Q8TBX8,1.0,1.0,0.8054,1.0
P67775,Q92572,0.3923,1.0,0.736,0.8536
P41240,Q92730,1.0,0.766,1.0,1.0
P31150,Q9NQX6,0.5414,0.7324,0.6217,0.5645
Q96RJ3,Q12933,0.9864,0.9945,0.5868,0.9425
P04637,P10415,0.2419,0.7458,0.8754,0.4298
Q8N2W9,Q15796,0.5906,0.7406,0.6409,0.712
P36897,P01137,0.5722,1.0,0.3746,0.7923
Q9UJ41,Q9BYM8,1.0,0.6198,0.7403,1.0
O75175,Q8TAU0,1.0,0.5317,1.0,1.0
Q13546,O00220,0.9762,0.5159,0.8488,0.8129
O95983,Q96QF0,1.0,1.0,1.0,0.0
P25311,P61769,0.6743,0.0708,1.0,0.0538
P41240,Q8TBX8,1.0,0.8507,1.0,0.9819
O15304,Q92633,1.0,1.0,0.8149,0.5859
Q16763,P30260,1.0,0.983,0.6117,1.0
P62879,P63096,0.223,0.3719,1.0,1.0
Q68DY1,Q93096,0.9397,1.0,0.5965,0.808
Q15797,O15105,0.9469,1.0,1.0,1.0
Q05513,Q9Y624,1.0,0.8129,0.127,0.1234
P02545,P04792,1.0,0.3702,1.0,0.8154
Q15797,P31273,1.0,1.0,1.0,1.0
Q70SY1,Q9H6S3,1.0,1.0,0.8486,1.0
Q02535,Q9UDV6,0.0296,0.2996,1.0,0.6489
P84022,Q05516,0.8686,0.2249,0.8816,0.8305
P31269,Q15796,0.7504,0.5756,0.1514,1.0
Q9UKG1,P31749,0.7395,1.0,0.6626,0.1678
Q16526,Q9UKC9,0.6551,1.0,0.2782,0.8212
P17036,Q9H6S3,0.6632,0.0,0.6621,0.8632
P41587,O60896,1.0,1.0,0.53,0.8704
Q8IUC6,Q7Z434,0.6898,1.0,0.6508,0.1015
Q16828,Q70SY1,0.8814,0.6787,1.0,0.5094
P42771,Q9UBD5,0.8084,1.0,0.3706,0.5208
Q9UM11,P60228,0.7207,0.0527,0.51,0.5537
Q14186,Q8TAK5,1.0,0.5469,0.6921,0.4837
Q49AN0,Q9H469,1.0,0.8028,1.0,0.3933
Q8TAU0,Q9H6S3,1.0,0.8312,0.3671,0.8573
Q16254,Q8TAK5,1.0,1.0,0.6341,0.8375
P27361,P07948,0.673,1.0,0.7753,0.0
P62879,Q8TAU0,0.8061,0.7423,0.5829,1.0
Q16539,P28482,0.9678,0.8171,0.9809,1.0
