Seq_A,Seq_B,RR,RP,LR,LP
P28069,Q04724,0.9935,0.4455,0.8839,1.0
P09471,O00167,0.9859,0.7307,0.7705,0.7261
O43739,P50148,1.0,1.0,0.9825,0.2671
O43290,P83876,1.0,0.5166,0.9348,1.0
P51572,Q92575,0.6019,1.0,0.4036,1.0
P28482,P11802,1.0,0.8332,0.9394,1.0
P25963,Q9H9D4,0.6712,0.5426,1.0,0.6703
Q92844,Q12933,1.0,0.8622,0.5999,0.9886
P36915,Q70SY1,0.729,1.0,1.0,0.9943
P10398,P31749,1.0,1.0,0.3593,0.9117
P21246,Q7L311,1.0,0.8098,0.9875,0.4671
Q7Z6M1,P51149,0.3071,0.3793,0.8118,1.0
Q5JTD0,Q9Y624,1.0,0.7228,1.0,1.0
Q01094,Q15796,0.5981,0.9691,1.0,0.7846
P18848,Q8TBX8,1.0,1.0,0.917,1.0
P67775,Q92572,0.4902,1.0,0.8489,0.8474
P41240,Q92730,0.993,0.8517,1.0,1.0
P31150,Q9NQX6,0.5882,0.7429,0.7611,0.6095
Q96RJ3,Q12933,1.0,1.0,0.7053,1.0
P04637,P10415,0.336,0.8692,0.8993,0.5019
Q8N2W9,Q15796,0.6337,0.8481,0.6793,0.7989
P36897,P01137,0.6614,1.0,0.4284,0.928
Q9UJ41,Q9BYM8,1.0,0.754,0.7642,1.0
O75175,Q8TAU0,1.0,0.562,1.0,1.0
Q13546,O00220,1.0,0.6039,0.9193,0.8401
O95983,Q96QF0,1.0,1.0,1.0,0.0855
P25311,P61769,0.7341,0.1573,1.0,0.1367
P41240,Q8TBX8,1.0,0.8997,1.0,0.9942
O15304,Q92633,0.9895,1.0,0.9221,0.7125
Q16763,P30260,1.0,1.0,0.6321,1.0
P62879,P63096,0.3122,0.4528,1.0,0.9787
Q68DY1,Q93096,1.0,1.0,0.6927,0.8058
Q15797,O15105,1.0,1.0,0.9771,1.0
Q05513,Q9Y624,1.0,0.9214,0.1997,0.211
P02545,P04792,1.0,0.4773,1.0,0.8589
Q15797,P31273,1.0,1.0,1.0,1.0
Q70SY1,Q9H6S3,1.0,1.0,0.8846,1.0
Q02535,Q9UDV6,0.1097,0.3843,1.0,0.7494
P84022,Q05516,0.9401,0.3242,1.0,0.832
P31269,Q15796,0.8258,0.6422,0.2305,1.0
Q9UKG1,P31749,0.851,1.0,0.6798,0.24
Q16526,Q9UKC9,0.7957,0.9977,0.3881,0.9806
P17036,Q9H6S3,0.7203,0.0879,0.7198,0.8806
P41587,O60896,0.988,0.9968,0.5683,0.9925
Q8IUC6,Q7Z434,0.7693,1.0,0.7283,0.1781
Q16828,Q70SY1,0.9688,0.7473,1.0,0.5446
P42771,Q9UBD5,0.8342,1.0,0.4319,0.6397
Q9UM11,P60228,0.8396,0.1412,0.5667,0.6727
Q14186,Q8TAK5,1.0,0.5809,0.7343,0.5526
Q49AN0,Q9H469,1.0,0.8977,1.0,0.4896
Q8TAU0,Q9H6S3,1.0,0.957,0.4268,0.941
Q16254,Q8TAK5,1.0,1.0,0.7227,0.9725
P27361,P07948,0.7816,1.0,0.9202,0.0837
P62879,Q8TAU0,0.8782,0.8836,0.621,1.0
Q16539,P28482,1.0,0.9226,1.0,1.0
P49841,P98170,1.0,0.7023,0.5651,0.9712
P38936,P49736,0.7754,1.0,0.7164,0.9339
Q99986,P84103,0.7389,0.7223,0.8778,1.0
P17036,Q70SY1,1.0,1.0,1.0,0.5469
