Seq_A,Seq_B,RR,RP,LR,LP
P28069,Q04724,1.0,1.0,0.3549,0.6777
P09471,O00167,0.5887,1.0,1.0,0.1033
O43739,P50148,0.7034,0.4059,0.9755,1.0
O43290,P83876,0.2958,0.9569,0.8957,0.7596
P51572,Q92575,1.0,0.874,0.6127,0.0
P28482,P11802,0.0895,0.0,1.0,0.7556
P25963,Q9H9D4,0.6983,0.9377,0.8623,0.8107
Q92844,Q12933,0.8767,0.617,0.6703,1.0
P36915,Q70SY1,1.0,0.5867,0.2585,0.1669
P10398,P31749,0.6501,0.1569,1.0,1.0
P21246,Q7L311,0.4787,1.0,0.3572,0.8223
Q7Z6M1,P51149,0.5864,0.9217,0.7649,1.0
Q5JTD0,Q9Y624,1.0,1.0,0.9807,1.0
Q01094,Q15796,0.4,0.0,1.0,1.0
P18848,Q8TBX8,1.0,0.3367,1.0,1.0
P67775,Q92572,0.8994,0.8452,0.1968,0.8469
P41240,Q92730,0.3495,0.968,0.5716,0.6726
P31150,Q9NQX6,1.0,0.5848,1.0,0.8519
Q96RJ3,Q12933,0.993,0.9245,0.0,0.4695
P04637,P10415,1.0,0.3616,0.418,0.9648
Q8N2W9,Q15796,0.6352,1.0,0.726,1.0
P36897,P01137,1.0,0.8091,0.9249,1.0
Q9UJ41,Q9BYM8,0.1685,1.0,0.1459,1.0
O75175,Q8TAU0,0.7282,0.0,0.8532,0.5694
Q13546,O00220,0.6913,0.2337,0.8084,0.4639
O95983,Q96QF0,0.7738,0.6225,0.2845,1.0
P25311,P61769,0.9377,0.9858,1.0,0.7966
P41240,Q8TBX8,0.8541,1.0,1.0,1.0
O15304,Q92633,0.196,0.6411,0.6496,1.0
Q16763,P30260,1.0,0.8907,0.3826,0.7247
P62879,P63096,0.9052,1.0,0.734,1.0
Q68DY1,Q93096,1.0,0.7613,0.3599,1.0
Q15797,O15105,1.0,1.0,0.0927,0.6687
Q05513,Q9Y624,0.9039,0.9393,0.6831,1.0
P02545,P04792,1.0,1.0,1.0,0.1808
Q15797,P31273,1.0,0.3823,0.7064,0.3265
Q70SY1,Q9H6S3,0.0,0.924,0.9589,1.0
Q02535,Q9UDV6,1.0,1.0,1.0,0.8714
P84022,Q05516,1.0,1.0,1.0,0.7012
P31269,Q15796,0.7223,0.1329,0.8627,1.0
Q9UKG1,P31749,0.832,0.5795,0.9248,1.0
Q16526,Q9UKC9,0.4889,0.8918,0.9364,0.746
P17036,Q9H6S3,1.0,0.9263,1.0,1.0
P41587,O60896,1.0,0.8244,0.8533,0.8009
Q8IUC6,Q7Z434,1.0,0.8742,0.7028,0.2572
Q16828,Q70SY1,0.8183,0.6492,1.0,1.0
P42771,Q9UBD5,0.4452,0.7227,0.4307,0.8041
Q9UM11,P60228,1.0,1.0,0.8774,1.0
Q14186,Q8TAK5,1.0,1.0,1.0,0.6437
Q49AN0,Q9H469,0.1634,0.9173,1.0,1.0
Q8TAU0,Q9H6S3,0.0792,1.0,0.7688,0.7668
Q16254,Q8TAK5,0.5908,0.96,1.0,0.9373
P27361,P07948,0.4126,0.0,1.0,1.0
P62879,Q8TAU0,1.0,0.7012,0.9112,0.5647
Q16539,P28482,0.7128,1.0,0.8901,1.0
P49841,P98170,1.0,0.2809,1.0,1.0
P38936,P49736,1.0,1.0,0.5805,0.5052
Q99986,P84103,1.0,1.0,1.0,0.6274
P17036,Q70SY1,0.7374,1.0,0.4032,0.6966
Q01130,Q16539,0.7478,0.6014,0.8326,1.0
