Seq_A,Seq_B,RR,RP,LR,LP
P28069,Q04724,1.0,1.0,0.6606,1.0
P09471,O00167,1.0,0.4357,1.0,0.5759
O43739,P50148,0.5396,0.4163,0.7156,0.7024
O43290,P83876,0.4988,1.0,1.0,1.0
P51572,Q92575,0.2074,1.0,1.0,0.8748
P28482,P11802,0.6393,0.0491,1.0,0.2048
P25963,Q9H9D4,0.8707,0.7504,1.0,1.0
Q92844,Q12933,0.9949,1.0,0.9617,1.0
P36915,Q70SY1,0.9705,0.2517,1.0,0.7252
P10398,P31749,0.3484,0.6956,0.6091,0.9628
P21246,Q7L311,0.9964,0.2573,0.8187,0.2653
Q7Z6M1,P51149,0.6186,1.0,1.0,0.4736
Q5JTD0,Q9Y624,0.4425,0.9718,1.0,1.0
Q01094,Q15796,1.0,1.0,0.785,0.6532
P18848,Q8TBX8,0.7561,0.0,1.0,0.8985
P67775,Q92572,0.9543,0.9535,0.7379,0.656
P41240,Q92730,0.0,1.0,1.0,0.8308
P31150,Q9NQX6,0.8666,0.73,0.4695,1.0
Q96RJ3,Q12933,0.4623,0.8446,0.8776,1.0
P04637,P10415,0.8151,1.0,0.9471,0.7149
Q8N2W9,Q15796,1.0,1.0,0.7453,0.7487
P36897,P01137,0.8601,1.0,0.5845,1.0
Q9UJ41,Q9BYM8,1.0,0.9488,1.0,0.8049
O75175,Q8TAU0,1.0,0.9194,0.7536,0.8174
Q13546,O00220,0.6901,0.9707,1.0,0.5847
O95983,Q96QF0,0.3824,0.4064,1.0,0.9702
P25311,P61769,1.0,1.0,1.0,1.0
P41240,Q8TBX8,1.0,0.4368,0.845,0.9397
O15304,Q92633,0.6491,1.0,0.3965,1.0
Q16763,P30260,1.0,1.0,0.5547,0.8955
P62879,P63096,0.8905,1.0,1.0,0.4921
Q68DY1,Q93096,0.903,1.0,0.3642,1.0
Q15797,O15105,0.8066,1.0,1.0,0.6241
Q05513,Q9Y624,0.7831,0.6632,0.8284,0.9089
P02545,P04792,0.7369,1.0,0.9937,0.9592
Q15797,P31273,0.6624,0.4232,0.9393,0.5735
Q70SY1,Q9H6S3,1.0,1.0,1.0,1.0
Q02535,Q9UDV6,1.0,0.7137,1.0,1.0
P84022,Q05516,0.8128,0.4428,1.0,1.0
P31269,Q15796,1.0,0.7443,0.8111,1.0
Q9UKG1,P31749,0.7339,1.0,1.0,0.3177
Q16526,Q9UKC9,1.0,0.4178,0.6697,0.9666
P17036,Q9H6S3,0.7439,0.6227,0.744,1.0
P41587,O60896,1.0,0.7074,0.5582,0.8915
Q8IUC6,Q7Z434,0.3191,0.3611,1.0,0.8156
Q16828,Q70SY1,0.829,1.0,0.8647,0.6582
P42771,Q9UBD5,1.0,1.0,1.0,1.0
Q9UM11,P60228,1.0,0.2972,1.0,1.0
Q14186,Q8TAK5,0.8793,0.3953,0.8445,1.0
Q49AN0,Q9H469,1.0,0.4788,0.9621,0.805
Q8TAU0,Q9H6S3,1.0,0.9502,0.9637,0.7454
Q16254,Q8TAK5,0.0,0.7023,0.9857,1.0
P27361,P07948,0.6427,0.9159,0.0648,0.6527
P62879,Q8TAU0,0.8443,0.6196,0.403,1.0
Q16539,P28482,1.0,0.7751,1.0,0.6752
P49841,P98170,0.7836,1.0,0.5413,0.5298
P38936,P49736,1.0,1.0,1.0,0.9908
Q99986,P84103,1.0,0.8472,0.8961,0.5285
P17036,Q70SY1,0.7219,0.938,0.7368,1.0
Q01130,Q16539,1.0,0.3793,1.0,0.2914
P07948,Q03405,1.0,0.1147,1.0,0.2251
Q15466,Q92786,1.0,0.4808,0.6692,0.7109
P59190,Q15276,1.0,1.0,1.0,0.5753
P41587,Q9BQY9,1.0,1.0,0.9701,1.0
P84022,Q01094,0.9916,1.0,0.5059,1.0
Q9UKG1,P20338,1.0,0.8348,0.8419,1.0
P45983,Q49A26,1.0,0.6482,0.7203,0.4063
P02545,Q07955,0.6753,0.8866,0.9651,1.0
Q02535,Q92785,1.0,1.0,0.9708,0.6611
Q53GS9,O95777,1.0,0.4244,0.5204,0.9826
O95983,Q9UJW3,1.0,0.4615,0.6043,0.3015
Q05513,P67775,0.5633,0.7871,0.5798,0.7689
P62879,Q70SY1,0.9397,0.2691,0.8821,1.0
P41240,Q9UHX1,0.4347,0.5277,0.4685,0.6193
P01137,P61586,1.0,1.0,0.9696,1.0
Q02535,O75446,0.273,1.0,1.0,1.0
Q00987,P50750,0.9891,0.9491,0.8421,1.0
P06703,Q13546,0.6643,0.663,1.0,1.0
P24941,P29590,0.421,0.3952,0.7846,0.6791
P28482,Q15797,1.0,1.0,1.0,1.0
P26368,P60842,0.5361,0.5933,0.8003,0.8615
Q9H6S3,Q9UDV6,1.0,0.7828,1.0,0.695
Q9BUZ4,O00244,0.7515,0.9762,0.0278,1.0
Q96CV9,Q7Z434,1.0,0.1638,1.0,0.0
Q13485,Q15583,0.7459,1.0,0.6498,0.7909
O15105,P04637,0.2604,0.9173,0.2408,0.5769
Q14186,Q16254,0.6043,0.9494,0.5055,0.5794
Q8TAU0,Q9H9D4,1.0,0.7964,0.8262,0.8668
P18847,Q9H2S9,0.8034,0.4485,0.0034,0.0974
Q12933,Q8TDR0,1.0,1.0,0.9958,0.7079
P04141,P15509,0.0,0.2555,0.7753,0.6249
P31150,Q14192,1.0,1.0,0.9975,0.4923
Q02040,Q01081,1.0,0.5626,0.7014,0.8402
Q15910,Q07955,1.0,1.0,0.9597,0.5141
P31150,Q93096,1.0,1.0,0.5584,0.8926
P07196,P17661,0.6239,0.9516,1.0,0.3714
Q99576,O43524,1.0,1.0,0.7325,0.5935
P18848,Q9UH92,1.0,1.0,0.8294,1.0
P01100,P49736,1.0,0.5622,0.6214,0.6078
P04637,P31269,0.305,1.0,1.0,1.0
Q16828,Q93096,0.358,0.9265,0.9536,1.0
P28482,Q8N5F7,0.2669,1.0,1.0,1.0
Q05516,O95983,1.0,0.8162,0.8405,1.0
P27348,O43524,0.7725,0.595,0.5138,0.5376
P25963,P36915,1.0,1.0,1.0,0.8975
Q92785,Q9UHR5,1.0,1.0,0.9105,1.0
Q99986,P04637,0.0,0.9041,0.4831,0.5848
P04150,P22087,0.6244,1.0,0.943,0.6739
P55854,Q9UKY1,0.7612,0.8973,0.8635,0.7768
P26368,Q08170,0.8143,0.2943,0.4343,1.0
P08670,Q13330,0.7679,0.4861,1.0,0.9373
O75175,Q70SY1,1.0,1.0,0.6735,0.3112
P41240,P05230,0.9992,0.4441,0.831,0.9377
P31150,Q9H6S3,0.5023,1.0,0.7448,0.3276
P08047,P23511,1.0,0.9826,1.0,1.0
P18847,Q8TAU0,0.3992,0.0,0.262,1.0
P62136,P78396,0.5876,0.0,1.0,1.0
P35222,Q14192,1.0,1.0,0.7761,0.3021
Q9NZQ7,P26038,0.1627,0.7686,0.6906,0.6911
Q86Y07,P51452,0.7712,0.5872,0.7613,1.0
P07196,P21246,0.6304,0.563,1.0,1.0
O60936,Q01130,1.0,0.2983,1.0,1.0
