Seq_A,Seq_B,RR,RP,LR,LP
P09471,O00167,0.9658,0.5532,0.568,0.6737
O43739,P50148,0.9622,0.4335,0.8067,0.6648
O43290,P83876,0.1513,0.441,0.6927,0.833
P10398,P31749,0.8863,0.4972,1.0,0.5453
P18848,Q8TBX8,0.4884,0.6082,0.9836,0.8282
P04637,P10415,1.0,0.4722,0.5655,0.8452
O75175,Q8TAU0,0.7803,0.736,0.6584,0.7536
O95983,Q96QF0,0.5809,0.6604,0.0363,0.9308
P25311,P61769,1.0,0.3215,0.9279,0.6578
P02545,P04792,0.4736,0.8568,0.8193,0.3564
P17036,Q70SY1,0.7785,0.7181,0.2415,0.4009
P07948,Q03405,0.4566,0.5102,0.7432,0.1845
P02545,Q07955,0.6118,0.4549,1.0,0.533
P01137,P61586,0.615,0.6098,0.0363,0.7031
P06703,Q13546,1.0,0.6357,0.7473,0.8592
O15105,P04637,0.7316,1.0,0.6717,0.6989
P07196,P17661,0.7239,0.6504,0.4261,0.5421
P18848,Q9UH92,1.0,0.1886,0.8431,0.5787
P01100,P49736,0.8402,0.8533,0.8833,0.8751
P04637,P31269,0.9582,0.6605,0.7432,0.9342
P04150,P22087,0.2321,0.1709,1.0,0.4425
P08670,Q13330,0.6299,0.5397,0.6441,0.4643
O75175,Q70SY1,0.4603,0.3476,0.5137,1.0
P08047,P23511,0.7723,0.9569,0.4264,0.1309
P18847,Q8TAU0,0.4724,0.9233,0.5558,0.3625
P07196,P21246,0.9252,0.8345,0.4999,0.2332
O60936,Q01130,0.4271,1.0,0.8037,1.0
P18847,Q13547,0.601,0.7906,0.1017,0.9971
P01137,P17980,0.2324,0.589,0.0363,0.4059
O60683,Q92968,0.515,0.8204,0.7454,0.9104
P18848,Q02535,0.8195,0.2526,0.6646,0.4762
O00623,Q92968,0.3908,0.5447,1.0,0.9965
P24941,Q9UBD5,0.5076,0.5583,0.3561,0.6495
O75414,P04637,1.0,0.0335,0.6886,0.8894
P13631,Q15466,1.0,0.7012,0.8667,0.4237
O43559,P61587,0.4449,0.9301,0.7867,0.2053
P15531,Q13232,0.7022,0.4946,0.9943,0.7061
O95361,Q01094,0.9027,0.723,0.9099,0.6315
P25490,O75446,0.1452,0.6892,0.3788,0.4081
P08670,P25963,0.6734,0.8991,0.2438,0.6292
P17252,P25963,0.8352,0.4527,0.535,0.3179
P24385,P38936,0.3941,0.7382,0.8749,0.9136
O75400,P21246,1.0,0.5879,0.9346,1.0
P17980,P42771,0.9766,0.3334,0.6516,0.584
P18847,Q9UH92,0.5781,1.0,0.5595,0.827
P15976,Q13547,0.9314,1.0,0.0363,0.3095
P17036,Q9UHR5,1.0,0.3554,0.4589,0.7072
P23297,P25815,0.9912,0.5928,0.2454,0.4213
P15531,Q00987,0.8881,1.0,0.9131,0.7382
P08621,Q8N5F7,0.6704,0.9128,0.712,0.5498
P17661,P23297,0.5226,0.5107,0.5508,0.6527
O60936,Q07955,0.8091,0.9377,0.5593,0.3388
P10276,Q00987,0.7577,0.871,1.0,0.5884
O75175,Q9UHX1,0.7786,0.3537,0.9082,0.7581
P24941,P60228,0.8957,0.1648,0.392,0.6769
O14640,P48729,0.3135,0.6932,0.071,0.7516
O75400,Q9H213,0.4662,0.9862,1.0,0.2681
O60936,P63162,0.4013,1.0,0.986,0.5517
P17980,P04637,1.0,0.3767,0.8178,0.5868
P15976,Q13077,1.0,0.3742,0.9621,0.4316
O00623,O60683,1.0,0.1849,0.2459,0.6396
P06493,O75496,0.4729,0.7925,1.0,0.9972
P17036,Q93096,0.847,0.2735,0.8047,0.3433
O75175,Q9H2S9,0.7337,0.8059,0.4746,0.6694
P04792,Q9BUB5,0.5034,0.3027,0.3569,0.5239
P04141,P26951,0.7754,0.041,0.2429,0.0861
P18848,Q16828,0.7632,0.3987,0.6927,0.71
P18847,Q14192,0.8974,0.1832,0.7411,0.9154
O75175,P62879,0.9833,0.7736,0.6342,0.4731
P06703,P23297,1.0,1.0,0.4418,0.5482
O75190,P02533,0.5319,0.3948,0.4171,0.5538
P17036,Q92730,0.1986,1.0,0.5267,1.0
P04637,P48729,0.2981,0.145,0.2722,0.5124
O75175,Q9NQX6,0.5472,0.5658,0.066,0.5817
P05787,P17980,0.514,0.8724,0.9953,0.9868
O75558,Q13643,0.4046,0.7332,1.0,0.673
P23511,P20226,0.5394,1.0,0.775,0.4815
P21246,P55854,0.3897,0.778,0.8166,0.7527
P08700,P32927,0.8311,1.0,0.5136,0.7504
P20338,P51572,0.4244,0.9043,0.4761,0.3414
P11802,Q13547,0.7013,0.9728,0.8982,0.2922
O60936,Q01081,0.3319,0.6479,0.8766,0.8833
P06493,Q07817,0.7065,0.6748,1.0,0.4294
P25963,P31150,0.659,0.9623,0.3695,0.6351
P07196,P51693,0.7683,0.6117,0.59,0.9791
P24385,Q9UBD5,0.9031,0.9024,0.6138,0.7543
P05412,Q9UBD5,0.2855,0.6469,0.9646,0.6391
O15105,P31273,0.3332,0.8095,0.5971,0.4699
O75175,Q02535,0.7733,0.5419,0.6217,0.334
P18847,Q8TBX8,0.5337,0.5748,0.4524,1.0
O43194,Q9UBU3,0.9552,0.9533,0.2638,0.3796
P04637,Q13571,0.5761,0.4998,1.0,0.998
P01100,P15559,0.5725,0.5585,0.4654,0.9926
P08047,Q13547,0.5442,0.615,0.8431,0.4185
P01100,P05067,0.7223,1.0,0.9785,0.5617
P21246,P35222,0.7207,0.2685,0.5376,1.0
O14640,P49841,0.9505,0.3362,1.0,0.7429
P10398,P10415,0.6428,0.6414,0.8959,0.8666
P07196,P26641,0.62,0.8596,0.5619,0.705
P04637,Q8N2W9,0.3867,0.8388,0.6882,0.8778
P05412,Q13547,0.6302,0.6259,0.8515,0.7572
P08621,P63244,0.7888,0.4326,0.7041,0.1065
O60896,P56589,0.5618,0.562,0.4264,0.5449
P21731,Q9UBU3,0.6246,0.9989,0.824,0.4027
P10276,O15379,1.0,0.2978,0.5208,0.4365
P15509,P08700,0.6811,0.1663,1.0,0.8949
P18847,Q9UHX1,0.7658,0.4976,0.9434,0.5579
P06493,P26951,1.0,0.7444,1.0,0.9801
O00167,P15531,0.4187,0.3622,0.4091,0.4013
P18847,P41240,0.2104,0.8157,0.9303,0.6341
O15116,O95777,0.3457,0.9022,0.468,0.4919
P04637,Q13232,0.7808,0.6163,0.5787,0.9757
O75175,Q92785,0.9683,0.8056,0.5313,0.6375
P01137,P50750,0.9839,0.8533,0.8705,0.6605
P18847,Q02535,0.3387,0.5408,0.8461,0.6091
P23511,P38936,0.8404,0.1222,0.8732,0.7662
P11802,P07948,0.966,0.8706,0.7995,0.7433
O15379,P18847,0.5977,0.8309,0.5668,0.858
P18848,Q92785,0.455,0.8874,0.838,0.5508
P17036,P31150,0.6724,1.0,0.8927,0.7005
P19793,Q96RL1,0.9155,0.937,0.4444,0.4545
P04792,P60842,0.4406,0.5001,0.9985,0.5483
P10398,P49207,0.9511,1.0,0.8009,1.0
P19793,Q13133,0.7965,0.0335,1.0,0.0361
P01100,Q00987,0.9906,0.8188,0.6326,0.7172
O75190,P14136,0.5998,0.898,1.0,0.381
P10276,A6NIX2,0.4078,0.0335,0.7405,0.5697
O60936,P62995,1.0,1.0,0.8209,0.4972
P18754,P04637,0.8564,0.4712,1.0,0.6795
P10276,Q92769,1.0,0.8352,0.5473,1.0
P17036,P62879,0.605,0.7805,0.427,0.6623
P10398,P63092,0.8006,0.7586,0.7566,0.5477
P08621,O43447,0.7582,0.4827,0.6806,1.0
P07196,Q9H213,0.5154,1.0,0.7546,0.3904
P04150,P62873,0.4901,0.3973,0.3811,0.9316
P04792,P06730,1.0,0.8825,0.3959,0.5613
O75558,P17980,0.7401,0.7137,0.5397,0.791
O00623,Q9Y5Y5,0.571,0.7973,0.7812,0.7589
P04637,P24385,0.5539,0.0335,0.7485,1.0
P17036,Q9H9D4,0.4507,0.3807,0.6718,0.7946
P17252,P63244,1.0,0.5169,0.8284,0.4016
P02545,P31946,0.7285,0.7863,0.9578,0.8268
P10398,Q07817,0.718,0.6091,0.3706,0.3233
P18848,P31150,0.6239,1.0,0.597,0.7109
P15559,Q00987,0.4031,0.0335,0.6204,0.2736
P18848,Q8TAU0,0.538,0.9907,0.8063,1.0
P24941,Q15329,0.5902,0.906,0.5067,0.9971
O75175,Q9UDV6,0.5374,0.5638,0.5505,0.2921
O14775,P05067,1.0,0.5839,0.4228,0.7721
P18848,Q9H2S9,1.0,0.1397,0.4944,0.9449
P22681,Q13239,0.6086,0.9192,0.6561,0.5979
O15304,P04637,0.8482,0.41,0.6218,0.6728
P08670,Q7L311,1.0,0.2662,0.7657,1.0
O60663,P05067,0.4792,0.5839,0.8528,0.4402
P04150,Q8TAE8,0.3834,0.2942,0.8869,0.4243
P04156,P13861,0.753,0.5322,0.439,0.9322
A6NIX2,O60663,1.0,0.6745,0.9846,0.3664
P04637,Q96I24,1.0,0.6329,0.6143,0.6189
P23297,P31949,0.0452,0.69,0.5789,0.5833
O00220,P06493,0.6161,0.8541,0.2273,0.5163
P18848,Q9UHX1,0.4786,0.8745,0.7272,0.665
O00220,Q04771,0.7705,0.3077,0.1761,0.5602
P04233,Q13347,0.6845,0.7294,0.8061,0.381
P24941,Q02535,0.9872,0.8576,1.0,0.7701
P01100,P35452,0.8689,0.8679,0.8479,0.3721
P02545,Q06330,0.5417,0.6306,0.8408,0.5703
O75400,P55854,1.0,0.6724,0.9538,0.5377
P18847,P25963,0.6673,0.9873,0.7735,0.5116
P18848,P62879,0.5712,0.5429,1.0,0.6302
P04637,Q07812,0.5129,0.77,0.4808,0.6791
P15976,Q05513,1.0,0.4639,0.6568,1.0
O75190,P08670,0.2729,1.0,0.7267,0.429
O75558,Q14192,0.7235,0.4389,0.9863,0.9286
O75175,P36915,1.0,0.6949,1.0,0.6463
P21246,Q9H213,0.4356,0.3341,0.8425,0.9734
P04637,P55854,0.717,0.0335,0.5624,0.4303
P18848,Q70SY1,1.0,0.7093,1.0,0.6744
P08047,Q9Y294,0.5011,1.0,0.612,0.9949
P07948,Q6PIZ9,0.6411,0.1478,1.0,0.993
O75175,P25963,0.4175,1.0,0.6926,1.0
P17036,Q9H2S9,0.4591,1.0,0.7602,0.9379
P18848,P36915,0.9807,0.8362,1.0,0.5624
O75175,P18847,0.2352,0.7168,0.8589,0.7674
O60683,P56589,0.6418,1.0,0.6294,0.8385
P18848,Q92730,1.0,0.9554,0.4784,0.0361
O75558,Q13642,0.3088,0.9989,1.0,0.9668
P15514,Q969F2,0.6688,0.1919,0.805,0.6042
O60683,Q9Y5Y5,0.5098,0.7727,0.7759,0.15
P02545,Q8N668,0.7202,0.0335,0.5753,0.3668
P04792,Q92890,0.8379,0.9879,0.3286,0.5524
O00716,Q8TAK5,0.2944,0.4984,0.8157,0.9398
O43290,O43447,0.4252,0.6582,0.5153,0.9896
P07196,Q7L311,0.3743,0.575,0.2095,0.193
P17036,P18847,0.8174,0.5281,0.9199,0.2926
P10242,P04637,0.8451,0.9114,0.7768,0.8308
O00238,P98170,1.0,0.6759,0.6199,0.3244
P20226,Q13952,1.0,0.9841,0.2451,0.583
O15105,Q13363,0.4945,0.5254,0.9168,0.9228
P08047,P15172,1.0,0.196,0.8202,1.0
P17036,Q92785,0.6123,0.588,0.5517,0.7187
