Seq_A,Seq_B,RR,RP,LR,LP
O43739,P50148,0.6626,0.4926,0.9466,0.7095
O43290,P83876,0.3154,0.8757,0.4129,0.629
O15304,Q92633,0.7941,0.3166,0.0,0.4684
O15105,P04637,0.349,0.3505,0.7702,0.7875
O75175,Q70SY1,1.0,0.1839,0.0937,0.5811
O60936,Q01130,0.28,0.6478,0.0933,0.7772
O60683,Q92968,0.0958,0.6699,0.8814,1.0
O00623,Q92968,0.0323,0.4524,0.354,0.6141
O43559,P61587,0.6145,0.4362,0.5757,0.4248
O60936,Q07955,0.3905,0.1313,0.9677,0.656
O14640,P48729,1.0,0.0,0.7569,0.076
O60936,P63162,0.9287,0.3913,0.2529,0.7819
O00623,O60683,0.6328,0.5603,0.4845,0.6812
O15116,O94906,1.0,0.248,0.9696,0.3745
O75175,P62879,1.0,1.0,0.9259,0.8868
O43447,P98170,0.5971,0.4315,0.0,0.7232
O60936,Q01081,0.5141,0.5392,1.0,0.5321
O15105,P31273,0.2616,0.6275,0.658,0.4714
O75175,Q02535,0.6483,0.1852,0.5527,1.0
O43194,Q9UBU3,0.5013,0.3044,0.5033,0.1563
O14640,P49841,0.6216,0.7546,0.4251,0.6001
O60896,P56589,0.5321,0.255,0.9906,0.8879
O00167,P15531,0.8432,0.9185,0.7583,0.5968
O15116,O95777,0.452,0.9135,0.0141,0.7821
O15379,P18847,0.3005,0.6521,0.9365,0.5428
O60936,P62995,1.0,0.735,0.5609,0.2116
O00623,Q9Y5Y5,0.5547,0.832,0.8915,0.3442
O14775,P05067,0.7845,0.5866,0.9361,0.7495
O43447,O94906,0.8177,0.3271,0.4789,0.3893
O15304,P04637,1.0,1.0,0.7212,0.9434
O60663,P05067,0.5829,0.6541,0.3598,0.733
A6NIX2,O60663,0.2236,0.3646,0.8236,0.1461
O43447,Q53GS9,0.5754,0.2785,0.5251,0.7876
O14775,Q6Y2X3,0.7263,0.7299,0.1472,0.4835
O00220,P06493,0.3367,0.5174,0.4692,0.3804
O75175,P36915,0.8745,0.8269,0.7384,0.1919
O75175,P25963,0.1878,0.6419,1.0,0.7827
O75175,P18847,0.7097,0.7846,1.0,0.246
O60683,P56589,0.4494,0.3499,0.3581,0.5872
O60683,Q9Y5Y5,0.6973,0.1995,0.3417,0.6389
O00716,Q8TAK5,0.4486,0.2137,0.3632,0.7124
O43290,O43447,0.6371,0.5624,0.4509,0.772
O00238,P98170,1.0,0.1649,0.228,0.4973
O15105,Q13363,0.7419,0.7969,0.127,0.6689
O75175,P31150,0.3335,0.7621,0.3212,0.8577
O00167,Q9BUZ4,0.3369,0.6639,0.7959,0.7578
O15492,P35368,0.6411,0.6606,1.0,0.6559
O75175,P41240,0.4764,0.3024,0.4515,0.4353
O60936,Q13247,0.6047,0.484,0.6415,0.0932
O75175,Q68DY1,0.673,0.6753,0.9878,0.5893
O00716,Q14192,0.359,0.663,0.7178,0.8741
O00220,Q13158,0.2873,0.5713,0.6517,0.3334
O15492,P35348,0.7324,0.5544,0.7358,0.3583
O60936,Q08170,0.7702,0.9641,0.7435,0.6412
O15105,Q15750,0.6215,0.3678,0.1972,1.0
O75175,P17036,0.4963,0.7997,0.4786,0.6862
O43447,Q9BUQ8,0.9535,0.4378,1.0,0.5761
O15304,Q9UBY5,0.5197,0.5962,0.9279,0.303
O15105,P31269,0.6202,0.6249,0.6868,0.8436
O00238,P01137,1.0,0.192,0.6565,0.4835
O75175,P18848,0.6272,0.3667,0.2488,1.0
O75175,Q16828,0.6902,0.2157,0.8012,1.0
O43739,P10276,0.2185,0.3211,0.7208,1.0
O43524,Q13309,0.453,1.0,0.2867,0.9162
O15379,O15105,0.312,1.0,0.4376,0.0983
O60936,P84103,0.4249,0.8064,0.2851,0.4681
O15379,P25490,0.5014,0.4559,0.856,1.0
