Seq_A,Seq_B,RR,RP,LR,LP
P28069,Q04724,1.0,1.0,0.7152,1.0
P09471,O00167,1.0,0.4958,1.0,0.6405
O43739,P50148,0.5554,0.436,0.7816,0.7748
O43290,P83876,0.5573,1.0,1.0,1.0
P51572,Q92575,0.2468,1.0,1.0,0.9507
P28482,P11802,0.679,0.0906,1.0,0.2449
P25963,Q9H9D4,0.9199,0.8264,1.0,1.0
Q92844,Q12933,1.0,1.0,1.0,1.0
P36915,Q70SY1,0.9618,0.2881,1.0,0.7757
P10398,P31749,0.3876,0.7058,0.6402,1.0
P21246,Q7L311,1.0,0.2962,0.8781,0.2983
Q7Z6M1,P51149,0.6714,1.0,1.0,0.5208
Q5JTD0,Q9Y624,0.4907,0.9954,1.0,0.9941
Q01094,Q15796,1.0,1.0,0.8419,0.667
P18848,Q8TBX8,0.7796,0.041,1.0,0.8928
P67775,Q92572,0.9787,0.9624,0.8044,0.7278
P41240,Q92730,0.0413,1.0,0.9928,0.8948
P31150,Q9NQX6,0.8857,0.8005,0.4974,1.0
Q96RJ3,Q12933,0.4886,0.8467,0.9126,1.0
P04637,P10415,0.8906,0.998,0.9592,0.7396
Q8N2W9,Q15796,0.9888,1.0,0.8019,0.7616
P36897,P01137,0.941,1.0,0.6479,1.0
Q9UJ41,Q9BYM8,1.0,0.9545,1.0,0.8339
O75175,Q8TAU0,1.0,1.0,0.7802,0.8773
Q13546,O00220,0.7148,1.0,1.0,0.6261
O95983,Q96QF0,0.4038,0.4465,1.0,0.9681
P25311,P61769,1.0,1.0,1.0,0.9907
P41240,Q8TBX8,1.0,0.4755,0.8706,0.9412
O15304,Q92633,0.7036,1.0,0.4522,1.0
Q16763,P30260,1.0,1.0,0.5975,0.9732
P62879,P63096,0.9511,1.0,1.0,0.5379
Q68DY1,Q93096,0.9653,1.0,0.4151,1.0
Q15797,O15105,0.8577,1.0,1.0,0.661
Q05513,Q9Y624,0.8423,0.7237,0.8611,0.9352
P02545,P04792,0.8009,1.0,1.0,0.9605
Q15797,P31273,0.7088,0.4445,0.9643,0.6341
Q70SY1,Q9H6S3,0.9967,0.9895,1.0,1.0
Q02535,Q9UDV6,1.0,0.7326,1.0,1.0
P84022,Q05516,0.817,0.49,1.0,1.0
P31269,Q15796,1.0,0.777,0.8689,1.0
Q9UKG1,P31749,0.7658,1.0,1.0,0.3608
Q16526,Q9UKC9,0.9945,0.4739,0.7314,1.0
P17036,Q9H6S3,0.7713,0.6868,0.7747,1.0
P41587,O60896,0.9989,0.7757,0.5722,0.934
Q8IUC6,Q7Z434,0.369,0.3946,1.0,0.8179
Q16828,Q70SY1,0.9043,1.0,0.9178,0.6684
P42771,Q9UBD5,0.9951,1.0,1.0,1.0
Q9UM11,P60228,1.0,0.3283,1.0,0.9921
Q14186,Q8TAK5,0.9194,0.4229,0.8706,1.0
Q49AN0,Q9H469,1.0,0.5111,1.0,0.8619
Q8TAU0,Q9H6S3,0.9955,0.9824,0.9714,0.7572
Q16254,Q8TAK5,0.0413,0.7649,1.0,1.0
P27361,P07948,0.7005,0.9201,0.1056,0.6692
P62879,Q8TAU0,0.9,0.6737,0.4306,1.0
Q16539,P28482,0.9929,0.8168,1.0,0.6973
P49841,P98170,0.7887,1.0,0.5938,0.5621
P38936,P49736,1.0,1.0,1.0,1.0
Q99986,P84103,1.0,0.8693,0.9087,0.567
P17036,Q70SY1,0.7413,0.9858,0.8096,1.0
Q01130,Q16539,1.0,0.4169,1.0,0.3447
P07948,Q03405,1.0,0.1516,1.0,0.2543
Q15466,Q92786,1.0,0.5023,0.703,0.7245
P59190,Q15276,1.0,1.0,1.0,0.5886
P41587,Q9BQY9,1.0,1.0,1.0,1.0
P84022,Q01094,1.0,1.0,0.5463,0.9943
Q9UKG1,P20338,1.0,0.8933,0.8974,1.0
P45983,Q49A26,1.0,0.698,0.741,0.4459
P02545,Q07955,0.7236,0.9637,0.9977,1.0
Q02535,Q92785,1.0,1.0,0.9721,0.7042
Q53GS9,O95777,1.0,0.4672,0.5443,0.9891
O95983,Q9UJW3,1.0,0.5087,0.6131,0.3316
Q05513,P67775,0.6109,0.8576,0.5921,0.7939
P62879,Q70SY1,0.9423,0.3068,0.9621,1.0
P41240,Q9UHX1,0.4912,0.5584,0.4957,0.6404
P01137,P61586,1.0,0.9899,1.0,1.0
Q02535,O75446,0.3119,1.0,1.0,1.0
Q00987,P50750,1.0,1.0,0.8845,0.9911
P06703,Q13546,0.7115,0.6763,1.0,1.0
P24941,P29590,0.4428,0.4383,0.8408,0.7376
P28482,Q15797,1.0,1.0,1.0,1.0
P26368,P60842,0.5617,0.6104,0.857,0.869
Q9H6S3,Q9UDV6,1.0,0.8595,1.0,0.7094
Q9BUZ4,O00244,0.8142,0.9872,0.0697,1.0
Q96CV9,Q7Z434,1.0,0.1973,1.0,0.0393
Q13485,Q15583,0.7884,1.0,0.6783,0.8522
O15105,P04637,0.3013,0.9781,0.2843,0.6412
Q14186,Q16254,0.6219,0.9439,0.5229,0.6296
Q8TAU0,Q9H9D4,1.0,0.8482,0.8971,0.8759
P18847,Q9H2S9,0.8235,0.4899,0.044,0.1342
Q12933,Q8TDR0,1.0,0.9991,1.0,0.7711
P04141,P15509,0.0413,0.2875,0.8381,0.6458
P31150,Q14192,1.0,1.0,1.0,0.5103
Q02040,Q01081,1.0,0.5909,0.7325,0.8962
Q15910,Q07955,0.9933,1.0,0.995,0.5482
P31150,Q93096,1.0,1.0,0.6171,0.969
P07196,P17661,0.6516,1.0,1.0,0.4161
Q99576,O43524,0.9879,1.0,0.798,0.6082
P18848,Q9UH92,1.0,1.0,0.8335,1.0
P01100,P49736,0.9926,0.598,0.6774,0.6322
P04637,P31269,0.3384,1.0,1.0,1.0
Q16828,Q93096,0.4054,0.9238,0.9612,1.0
P28482,Q8N5F7,0.2956,0.9941,1.0,0.994
Q05516,O95983,1.0,0.871,0.8506,1.0
P27348,O43524,0.7728,0.6321,0.5635,0.5564
P25963,P36915,1.0,1.0,1.0,0.9275
Q92785,Q9UHR5,1.0,1.0,0.9607,1.0
Q99986,P04637,0.0413,0.9207,0.5077,0.6398
P04150,P22087,0.6387,1.0,0.9537,0.7333
P55854,Q9UKY1,0.7892,0.9236,0.8621,0.7888
P26368,Q08170,0.834,0.3441,0.466,1.0
P08670,Q13330,0.8327,0.5415,1.0,0.9643
O75175,Q70SY1,1.0,1.0,0.7362,0.3395
P41240,P05230,1.0,0.4775,0.883,1.0
P31150,Q9H6S3,0.5614,1.0,0.7784,0.3735
P08047,P23511,1.0,1.0,1.0,1.0
P18847,Q8TAU0,0.4553,0.041,0.3076,1.0
P62136,P78396,0.6196,0.041,1.0,0.9994
P35222,Q14192,1.0,0.9973,0.8166,0.3451
Q9NZQ7,P26038,0.1967,0.8053,0.7126,0.7039
Q86Y07,P51452,0.8241,0.6258,0.7658,1.0
P07196,P21246,0.669,0.6219,1.0,1.0
O60936,Q01130,1.0,0.3303,0.9999,1.0
Q07021,Q13952,1.0,0.5035,0.8973,1.0
P18847,Q13547,1.0,1.0,0.4945,1.0
P35222,P04792,0.9883,0.4825,0.5226,1.0
P01137,P17980,0.0413,1.0,1.0,0.2907
Q92844,P48730,1.0,1.0,0.0407,0.751
P28482,P11473,0.8536,0.4204,0.3858,0.2641
O60683,Q92968,0.7676,0.5899,1.0,0.7821
Q05516,Q96QF0,1.0,0.5772,0.8866,0.6223
P20338,P21731,1.0,0.9291,0.0407,0.8876
P31150,Q92785,1.0,1.0,0.5768,0.5792
P30260,P20226,1.0,0.7211,1.0,1.0
P49736,P31949,0.9984,0.9921,0.0407,0.9983
P51149,Q16891,1.0,1.0,0.1929,1.0
P18848,Q02535,0.4335,0.2468,0.9411,0.752
P51693,Q7L311,0.9927,0.7114,0.6831,1.0
Q15796,P19793,1.0,1.0,0.4877,0.4946
O00623,Q92968,0.9315,1.0,0.3405,0.2455
P49736,P49207,0.7864,1.0,0.3972,1.0
Q8TBX8,Q9NQX6,0.6776,0.7154,1.0,0.1595
P62879,Q9NQX6,1.0,0.5276,0.8791,0.9975
P04792,Q96CV9,0.5659,0.8761,0.4353,1.0
Q07021,Q05513,1.0,1.0,1.0,1.0
P24941,Q9UBD5,0.9121,0.7244,0.9544,1.0
P51572,P10415,0.2964,1.0,0.8407,0.9031
O75414,P04637,0.8699,0.2426,1.0,1.0
Q14192,Q02535,0.8484,0.9352,0.9926,1.0
P04792,Q5T3J3,1.0,0.1328,0.9214,0.4315
P25963,P41240,0.8081,1.0,1.0,0.3211
P13631,Q15466,0.3647,1.0,0.9803,1.0
P10828,Q92786,0.7237,1.0,1.0,1.0
P35240,Q92558,1.0,0.7721,0.8101,0.6185
Q9UBP5,Q92575,0.7492,1.0,0.9864,1.0
O43559,P61587,0.7461,1.0,0.5019,1.0
Q86XR8,P05230,1.0,0.984,1.0,1.0
Q07817,Q9UKY1,0.0413,0.6896,1.0,0.8354
