Seq_A,Seq_B,RR,RP,LR,LP
P51572,Q92575,0.4359,1.0,1.0,0.4904
P28482,P11802,1.0,0.2204,0.7807,0.907
P25963,Q9H9D4,0.4178,0.0,0.9439,0.7191
P10398,P31749,1.0,1.0,0.3887,0.8257
P21246,Q7L311,1.0,1.0,0.5944,0.5288
Q7Z6M1,P51149,1.0,0.4375,0.8451,0.5018
Q01094,Q15796,0.6807,0.3868,0.4288,1.0
P67775,Q92572,1.0,0.8749,0.1392,1.0
P31150,Q9NQX6,0.7018,0.7769,0.7825,0.7513
P36897,P01137,1.0,0.8871,0.6934,0.3719
Q9UJ41,Q9BYM8,1.0,1.0,0.8536,0.9458
Q13546,O00220,0.7232,1.0,0.3605,0.3615
O95983,Q96QF0,0.3987,0.868,0.0719,1.0
P25311,P61769,1.0,0.6906,1.0,0.0
P41240,Q8TBX8,0.7031,1.0,0.7868,0.695
Q16763,P30260,0.8652,0.5741,0.7911,1.0
P62879,P63096,0.8081,0.1129,0.7983,0.8474
Q68DY1,Q93096,0.3711,0.8855,0.7037,0.5589
Q15797,O15105,1.0,0.9493,0.7305,0.5573
P02545,P04792,0.7748,0.7316,1.0,0.601
Q15797,P31273,0.4677,0.4402,1.0,0.6447
Q70SY1,Q9H6S3,0.5922,1.0,0.8916,0.8095
Q02535,Q9UDV6,0.7356,0.6471,1.0,1.0
P84022,Q05516,1.0,1.0,0.4028,0.6966
P17036,Q9H6S3,1.0,0.1308,0.9344,1.0
Q8IUC6,Q7Z434,0.9557,0.4147,1.0,0.7117
P42771,Q9UBD5,1.0,1.0,0.9625,1.0
Q9UM11,P60228,0.1939,0.7093,0.9392,0.9004
Q14186,Q8TAK5,1.0,0.8701,0.6064,1.0
Q16254,Q8TAK5,0.8987,0.3004,0.5025,0.3926
P27361,P07948,1.0,1.0,0.8781,0.5361
P62879,Q8TAU0,1.0,0.6849,1.0,0.4781
Q16539,P28482,1.0,0.981,0.3533,0.6772
P38936,P49736,1.0,0.6856,0.7387,0.7659
Q99986,P84103,0.1681,0.7114,0.9168,1.0
Q01130,Q16539,0.8277,0.9781,0.3197,1.0
P07948,Q03405,1.0,1.0,0.93,0.4793
Q15466,Q92786,0.6413,0.0089,0.1729,1.0
P59190,Q15276,0.4971,1.0,1.0,0.9449
P84022,Q01094,0.4338,0.5039,0.9417,1.0
Q9UKG1,P20338,0.5539,0.4089,0.5242,0.8438
P02545,Q07955,1.0,0.8024,1.0,0.3021
O95983,Q9UJW3,1.0,0.7804,0.6634,0.7397
P62879,Q70SY1,0.648,0.6577,0.7659,0.5749
P24941,P29590,0.9708,0.7797,0.5507,0.9515
Q9H6S3,Q9UDV6,0.6059,0.9501,0.3601,0.796
Q96CV9,Q7Z434,0.9641,0.9535,0.8658,1.0
