Seq_A,Seq_B,RR,RP,LR,LP
P51572,Q92575,0.5046,1.0,1.0,0.6072
P28482,P11802,1.0,0.2762,0.8415,1.0
P25963,Q9H9D4,0.5182,0.0786,0.9584,0.8341
P10398,P31749,1.0,1.0,0.4615,0.845
P21246,Q7L311,1.0,1.0,0.615,0.6026
Q7Z6M1,P51149,1.0,0.5137,0.9307,0.5306
Q01094,Q15796,0.6975,0.4651,0.4818,1.0
P67775,Q92572,1.0,0.8776,0.2233,1.0
P31150,Q9NQX6,0.7926,0.8405,0.8244,0.9043
P36897,P01137,1.0,0.9638,0.7592,0.4208
Q9UJ41,Q9BYM8,0.9781,1.0,0.8423,1.0
Q13546,O00220,0.8698,1.0,0.4026,0.464
O95983,Q96QF0,0.507,0.9176,0.1449,1.0
P25311,P61769,1.0,0.6975,1.0,0.0831
P41240,Q8TBX8,0.7346,1.0,0.8747,0.8049
Q16763,P30260,0.8849,0.6146,0.8296,1.0
P62879,P63096,0.8513,0.1868,0.902,0.8697
Q68DY1,Q93096,0.4537,0.8895,0.8285,0.6202
Q15797,O15105,1.0,1.0,0.8448,0.6679
P02545,P04792,0.8178,0.8179,0.9797,0.6851
Q15797,P31273,0.558,0.5319,1.0,0.6581
Q70SY1,Q9H6S3,0.6272,1.0,0.8928,0.9284
Q02535,Q9UDV6,0.7807,0.7201,1.0,0.982
P84022,Q05516,1.0,0.9881,0.518,0.8085
P17036,Q9H6S3,1.0,0.2101,0.9389,1.0
Q8IUC6,Q7Z434,1.0,0.4977,1.0,0.856
P42771,Q9UBD5,1.0,1.0,1.0,1.0
Q9UM11,P60228,0.2776,0.772,1.0,0.9438
Q14186,Q8TAK5,1.0,0.8767,0.6865,1.0
Q16254,Q8TAK5,0.8919,0.3634,0.5259,0.4561
P27361,P07948,1.0,1.0,0.9188,0.6564
P62879,Q8TAU0,1.0,0.7782,1.0,0.6067
Q16539,P28482,0.9866,1.0,0.3971,0.7358
P38936,P49736,1.0,0.7384,0.7884,0.8338
Q99986,P84103,0.2693,0.856,0.9031,1.0
Q01130,Q16539,0.9547,1.0,0.3658,1.0
P07948,Q03405,1.0,1.0,0.9818,0.567
Q15466,Q92786,0.6669,0.0861,0.2337,1.0
P59190,Q15276,0.5952,1.0,1.0,1.0
P84022,Q01094,0.5084,0.5524,1.0,1.0
Q9UKG1,P20338,0.5901,0.4561,0.63,0.836
P02545,Q07955,1.0,0.8238,1.0,0.3899
O95983,Q9UJW3,0.9807,0.8186,0.6914,0.7942
P62879,Q70SY1,0.7802,0.6877,0.7772,0.6877
P24941,P29590,0.997,0.9156,0.6391,0.9489
Q9H6S3,Q9UDV6,0.7037,0.9414,0.4495,0.8859
Q96CV9,Q7Z434,1.0,1.0,0.8567,1.0
Q14186,Q16254,1.0,1.0,0.3391,0.8221
Q8TAU0,Q9H9D4,1.0,0.9621,0.7241,0.9877
P18847,Q9H2S9,1.0,0.6611,1.0,0.6785
P04141,P15509,1.0,0.2835,1.0,1.0
P31150,Q14192,1.0,1.0,0.7032,0.3981
Q15910,Q07955,1.0,0.7451,0.7232,1.0
P07196,P17661,1.0,1.0,0.4336,0.7423
P18848,Q9UH92,0.458,0.3184,0.2648,1.0
P27348,O43524,0.2565,0.4659,0.543,1.0
Q92785,Q9UHR5,0.8783,0.8591,0.2948,1.0
P55854,Q9UKY1,1.0,1.0,1.0,1.0
O75175,Q70SY1,0.43,0.5699,0.554,0.8217
P08047,P23511,1.0,1.0,1.0,0.3124
P62136,P78396,1.0,0.7372,0.9656,1.0
Q07021,Q13952,0.8002,1.0,1.0,1.0
P01137,P17980,0.9645,0.8551,1.0,0.9766
O60683,Q92968,0.9514,0.8628,0.8552,0.5689
Q05516,Q96QF0,1.0,0.7825,0.7712,0.6701
P20338,P21731,0.869,1.0,0.3977,0.7777
P31150,Q92785,1.0,0.5665,0.2012,0.6137
P49736,P31949,1.0,0.4248,0.7846,1.0
P18848,Q02535,0.3545,0.8413,0.4177,0.0826
O00623,Q92968,0.5113,1.0,1.0,0.9923
P62879,Q9NQX6,0.0867,1.0,0.8412,1.0
P51572,P10415,0.9764,1.0,0.8071,0.7125
O75414,P04637,0.5148,0.9055,0.5515,1.0
Q14192,Q02535,0.0869,0.3657,0.466,1.0
P25963,P41240,1.0,0.9813,1.0,0.5104
P10828,Q92786,0.65,0.7524,1.0,0.7963
O43559,P61587,1.0,0.2332,0.5662,0.3674
Q07817,Q9UKY1,0.9883,0.9835,0.6222,1.0
P15531,Q13232,0.5504,1.0,0.8592,0.3689
P26641,Q9H213,0.7424,1.0,1.0,0.9981
Q93096,Q9UH92,0.0871,0.7658,0.7248,1.0
Q14192,P41240,0.5403,0.7623,0.6216,1.0
P26368,P26038,0.7551,0.5188,0.5012,1.0
Q8TBX8,Q9UHX1,0.9864,0.9657,1.0,0.4388
Q96B97,Q92956,1.0,0.5539,0.9859,0.5814
Q13485,Q9BR65,0.4447,1.0,0.9779,0.7473
P38936,Q9UHX1,0.9842,0.9393,1.0,0.8055
Q9NY72,Q9UBY5,0.9124,0.7432,0.9694,1.0
Q8TBX8,Q9UHR5,0.4755,0.9293,0.9119,0.9687
Q15583,P05067,1.0,0.1859,1.0,0.9798
P24385,P38936,0.9118,0.923,0.9468,0.5607
O75400,P21246,1.0,0.9953,0.9402,0.507
Q9UI95,P62873,1.0,0.8577,0.3502,0.9675
P26641,Q5T3J3,0.5595,0.9885,0.2043,0.4942
P18847,Q9UH92,0.4409,1.0,0.6156,1.0
P25963,Q93096,0.88,0.8395,0.7114,0.3141
P62873,Q6Y2X3,1.0,1.0,0.8112,0.1334
P15976,Q13547,1.0,1.0,1.0,0.9046
P38936,P63244,0.979,1.0,0.3526,1.0
P23297,P25815,0.9949,0.571,1.0,0.9356
Q8N5F7,Q13546,0.9002,0.7652,1.0,1.0
Q08117,O15379,0.8523,0.9521,1.0,1.0
Q9UH92,Q9UHR5,1.0,0.932,0.8565,0.9057
Q5T3J3,Q7L311,0.1002,0.4183,0.4063,0.7438
Q9UM11,P17980,1.0,1.0,0.2807,0.3325
O75175,Q9UHX1,1.0,1.0,1.0,1.0
P43403,Q6PIZ9,1.0,0.8609,0.9297,0.7702
Q01094,Q06546,0.5434,0.5306,0.2988,0.6349
Q13485,Q13547,0.6056,0.7458,0.5356,1.0
O60936,P63162,0.6154,0.8069,0.7426,1.0
P18847,P36915,0.9082,1.0,1.0,1.0
P49841,P08621,0.8044,0.8738,0.737,1.0
